item_id,a,b1,b2,b3,b4
I02,3.7763954788736496,-1.0636007262267047,-0.6659120939660039,-0.24932924048059452,0.19899266482986333
I06,3.0193371418575587,-0.8987907154433459,-0.509802000070015,-0.04854716294029867,0.39549545529154684
I01,2.9708176695574924,-0.8601393532407139,-0.3848896859388458,0.08073922968842874,0.484707079883771
I09,2.6701787176639615,-0.8411113649011015,-0.3623351730166125,0.11040971240885131,0.6981406745487502
I04,2.658533958828788,-0.9703325760863243,-0.44310968703869835,0.036801532795079056,0.5182708109018497
I05,2.551797746578264,-1.3643107277987552,-0.801572357608994,-0.19868973487427782,0.36370945193187454
I10,2.483841496762821,-0.20305207121348615,0.32029367367453454,0.9176919735617375,1.4098983088304475
I03,2.0983930885397197,-1.9180761025997823,-1.24949918111697,-0.6424098152387417,-0.013347491815985235
I08,1.744809372279301,-0.28735295275302797,0.6232393660166534,1.4448144883441423,2.1778230828631404
I07,1.4640100791524724,-2.1040810617647536,-1.1762557410285004,-0.23801381506854616,0.6342927443622666
